location_uuid,location_name,loc_type,pcode,location_groups,data_date,week,year,submitted_date,submitter_name,submitter_email,unique_id,Uncategorized,Region,Payam,Hub,Site,Country,County,IDP Camp,Point of Entry,State,1. Consultations,"Consultations 
Total number of consultations 
Under 5 cases","Consultations 
Total number of consultations 
Under 5 deaths","Consultations 
Total number of consultations 
5 and over cases","Consultations 
Total number of consultations 
5 and over deaths",2. Morbidity,Cholera (suspected) Under 5,Cholera (suspected) Under 5 deaths,Cholera (suspected) 5 and over cases,Cholera (suspected)  5 and over deaths,Acute Watery Diarrhea (AWD) Under 5 cases,Acute Watery Diarrhea (AWD) Under 5 deaths,Acute Watery Diarrhea (AWD) 5 and over cases,Acute Watery Diarrhea (AWD) 5 and over deaths,Acute Bloody Diarrhea (ABD) Under 5 cases,Acute Bloody Diarrhea (ABD) Under 5 deaths,Acute Bloody Diarrhea (ABD) 5 and over cases,Acute Bloody Diarrhea (ABD) 5 and over deaths,Measles Under 5,Measles Under 5 deaths,Measles 5 and over cases,Measles 5 and over deaths,Meningitis Under 5 cases,Meningitis Under 5 deaths,Meningitis 5 and over cases,Meningitis 5 and over deaths,Viral Hemorrhagic Fever (VHF) Under 5 cases,Viral Hemorrhagic Fever (VHF) Under 5 deaths,Viral Hemorrhagic Fever (VHF) 5 and over cases,Viral Hemorrhagic Fever (VHF) 5 and over deaths,Yellow Fever  Under 5 cases,Yellow Fever  Under 5 deaths,Yellow Fever  5 and over cases,Yellow Fever 5 and over deaths,Relapsing Fever Under 5 cases,Relapsing Fever Under 5 deaths,Relapsing Fever 5 and over cases,Relapsing Fever 5 and over deaths,Acute Jaundice Syndrome (AJS) Under 5,Acute Jaundice Syndrome (AJS) Under 5 deaths,Acute Jaundice Syndrome (AJS) 5 and over cases,Acute Jaundice Syndrome (AJS) 5 and over deaths,Acute Respiratory Infection (ARI) Under 5 cases,Acute Respiratory Infection (ARI) Under 5 deaths,Acute Respiratory Infection (ARI) 5 and over cases,Acute Respiratory Infection (ARI) 5 and over deaths,Malaria Under 5,Malaria Under 5 deaths,Malaria 5 and over,Malaria 5 and over deaths,Neonatal Tetanus (NT) Under 5 cases,Neonatal Tetanus (NT) Under 5 deaths,Neonatal Tetanus (NT) 5 and over cases,Neonatal Tetanus (NT) 5 and over deaths,Guinea-Worm Disease (suspected) Under 5 cases,Guinea-Worm Disease (suspected) Under 5 deaths,Guinea-Worm Disease (suspected) 5 and over cases,Guinea-Worm Disease (suspected) 5 and over deaths,Skin Disease Under 5 ,Skin Disease Under 5 deaths,Skin Disease 5 and Over,Skin Disease 5 and Over deaths,Gunshot/Shell Injury Under 5 ,Gunshot/Shell Injury Under 5 deaths,Gunshot/Shell Injury 5 and Over,Gunshot/Shell Injury 5 and Over deaths,Other Injury Under 5 ,Other Injury Under 5 deaths,Other Injury 5 and Over,Other Injury 5 and Over deaths,Other Under 5 ,Other Under 5 deaths,Other 5 and Over,Other 5 and Over deaths,COVID - 19 (suspected) Under 5,COVID - 19 (suspected) Under 5 deaths,COVID - 19 (suspected) 5 and over cases,COVID - 19 (suspected) 5 and over deaths,"Acute Flaccid Paralysis (AFP) 
Acute Flaccid Paralysis (AFP) 
Under 15 cases","Acute Flaccid Paralysis (AFP) 
Acute Flaccid Paralysis (AFP) 
Under 15 deaths","Acute Flaccid Paralysis (AFP) 
Acute Flaccid Paralysis (AFP) 
15 and over cases","Acute Flaccid Paralysis (AFP) 
Acute Flaccid Paralysis (AFP) 
15 and over deaths",3. Additional information,Have you observed an unusual number of cases and deaths this week? ,Which disease/syndrome? (ALSO PLEASE MAKE SURE YOU HAVE FILLED OUT AN EVENT-BASED REPORTING FORM),Have you observed an unusual disease/syndrome in the area this week?,Which disease/syndrome? (ALSO PLEASE MAKE SURE YOU HAVE FILLED OUT AN EVENT-BASED REPORTING FORM),Is there any rumor of suspected outbreak (cases or deaths) in the community?,Details of rumour (ALSO PLEASE MAKE SURE YOU HAVE FILLED OUT AN EVENT-BASED REPORTING FORM),"Describe the actions taken to verify, investigate and contain/control the situation"
ec1e3c8a-7233-47f3-b936-e3b54a514822,Omdurman PHCU,Site,SS00084S,,2022-11-06,45,2022,2022-11-10,,,,,,Baach,,Omdurman PHCU,South Sudan,Aweil East,,,NBGZ,,53,,71,,,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,30,0,16,0,39,0,56,0,0,0,,,0,0,00,0,,,,,,,,,,,,,,,,,0,0,0,0,00,0,0,0,,NO,,NO,,NO,,
2d65fd5e-7f9c-4ba9-8a1e-98aff5f69538,Jamara PHCC,Site,MlWcdwDncIF,,2022-11-06,45,2022,2022-11-07,,,,,,Kupera,,Jamara PHCC,South Sudan,Lainya,,,CES Timbédra (Moughataa),,49,0,61,0,,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,43,0,0,0,,,0,0,0,0,2,0,2,0,0,0,0,0,1,0,2,0,10,0,12,0,0,0,0,0,0,0,0,0,,NO,,NO,,NO,,
5075cea7-c59a-47cc-a1e3-33368ef9e994,Aganytok PHCU,Site,Aganytok _Abyei,,2022-11-06,45,2022,2022-11-07,,,,,,Alal,,Aganytok PHCU,South Sudan,Abyei,,,Warrap,,13,0,23,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,7,0,5,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NO,,NO,,NO,,
5aa53d03-bf22-46ce-8c49-087db49d7305,Mijak PHCU,Site,B4Q3LShqry6,,2022-11-06,45,2022,2022-11-07,,,,,,Mijak,,Mijak PHCU,South Sudan,Abyei,,,Warrap,,16,0,59,0,,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,20,0,2,0,21,0,0,0,,,0,0,0,0,2,0,7,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,NO,,NO,,NO,,
05abd433-641f-45c9-a669-47c9abef4d2b,Roc Roc Dong PHCU,Site,RocRocDong_RR,,2022-11-06,45,2022,2022-11-07,,,,,,Roc Roc Dong,,Roc Roc Dong PHCU,South Sudan,Jur River,,,WBGZ,,113,0,138,0,,0,0,0,0,14,0,17,0,0,0,2,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,43,0,87,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,,NO,,NO,,NO,,
d249cbef-20e9-4f46-a92b-05c4f5a8b7bd,Mary help hospital,Site,EgMUfMDm7Yg,,2022-11-06,45,2022,2022-11-07,,,,,,Marial Baai,,Mary help hospital,South Sudan,Jur River,,,WBGZ,,90,0,117,0,,00,0,0,0,15,0,19,0,0,0,0,0,00,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,76,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,NO,,NO,,NO,,
229b6962-20a2-4d15-9bbb-7c0365512591,Eastern Bank PHCC,Site,EasternBank_RR,,2022-11-06,45,2022,2022-11-07,,,,,,Roc Roc Dong,,Eastern Bank PHCC,South Sudan,Jur River,,,WBGZ,,78,0,109,0,,000,00,0,0,10,0,19,0,1,0,3,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,69,0,0,0,,,0,0,0,0,000,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000,0,0,0,,NO,,NO,,NO,,
02b3c7ee-8051-4069-bbd9-39dd50adc80f,Umora PHCU,Site,zQ6hdBzgrMr,,2022-11-06,45,2022,2022-11-07,,,,,,Achana,,Umora PHCU,South Sudan,Aweil Centre,,,NBGZ,,43,0,56,0,,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,13,0,24,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NO,,NO,,NO,,
059a996a-2fc7-4c77-a646-bc689aba4a12,Bau PHCU,Site,eYU4fdE7qcW,,2022-11-06,45,2022,2022-11-07,,,,,,Bhar Mayen,,Bau PHCU,South Sudan,Aweil Centre,,,NBGZ,,51,0,63,0,,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,22,0,31,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NO,,NO,,NO,,
8b7c2963-d89b-4875-9035-c28ca53d5af1,Akuangkar PHCU,Site,d8JDBa1Ocw4,,2022-11-06,45,2022,2022-11-07,,,,,,Chel South,,Akuangkar PHCU,South Sudan,Aweil Centre,,,NBGZ,,43,0,59,0,,0,0,0,0,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,16,0,31,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NO,,NO,,NO,,
